address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
1825 SW 67th Ter # 1,Gainesville,FL,32607,97900,948.0,0,NA,171,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1825-SW-67th-Ter-1-Gainesville-FL-32607/2095352436_zpid/
11929 SW 3rd Ln,Gainesville,FL,32607,395000,2310.0,4.0,3.0,66,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11929-SW-3rd-Ln-Gainesville-FL-32607/103033560_zpid/
931 SW 55th Ter,Gainesville,FL,32607,129900,1370.0,3.0,3.0,138,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/931-SW-55th-Ter-Gainesville-FL-32607/42719541_zpid/
314 NW 36th St,Gainesville,FL,32607,175000,1678.0,3.0,2.0,143,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/314-NW-36th-St-Gainesville-FL-32607/42716441_zpid/
8612 SW 1st Pl,Gainesville,FL,32607,179900,1986.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8612-SW-1st-Pl-Gainesville-FL-32607/42717506_zpid/
9903 SW 19th Ln,Gainesville,FL,32607,439000,3247.0,4.0,4.0,94,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9903-SW-19th-Ln-Gainesville-FL-32607/42718363_zpid/
122 NW 29th St,Gainesville,FL,32607,210000,1508.0,3.0,2.0,138,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/122-NW-29th-St-Gainesville-FL-32607/42716030_zpid/
1716 SW 77th Ter,Gainesville,FL,32607,214900,1843.0,4.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1716-SW-77th-Ter-Gainesville-FL-32607/42719629_zpid/
930 SW 56th Ter,Gainesville,FL,32607,125000,1370.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/930-SW-56th-Ter-Gainesville-FL-32607/42719549_zpid/
10512 SW 15th Ln,Gainesville,FL,32607,599900,3495.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10512-SW-15th-Ln-Gainesville-FL-32607/87621180_zpid/
2130 SW 78th Ter,Gainesville,FL,32607,295000,2382.0,4.0,3.0,39,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2130-SW-78th-Ter-Gainesville-FL-32607/42718996_zpid/
211 NW 28th St,Gainesville,FL,32607,295000,1482.0,3.0,2.0,493,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/211-NW-28th-St-Gainesville-FL-32607/42716105_zpid/
542 NW 39th Rd UNIT 402,Gainesville,FL,32607,149000,1578.0,2.0,3.5,69,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/542-NW-39th-Rd-UNIT-402-Gainesville-FL-32607/81784431_zpid/
1405 SW 42nd St,Gainesville,FL,32607,69900,NA,NA,NA,31,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/1405-SW-42nd-St-Gainesville-FL-32607/2096130620_zpid/
2272 SW 91ST St,GAINESVILLE,FL,32607,195000,NA,NA,NA,577,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2272-SW-91ST-St-Gainesville-FL-32607/103022838_zpid/
1128 SW 82nd Ter,Gainesville,FL,32607,239000,1612.0,3.0,2.0,95,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1128-SW-82nd-Ter-Gainesville-FL-32607/42718924_zpid/
2356 SW 79th Dr,Gainesville,FL,32607,249900,2376.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2356-SW-79th-Dr-Gainesville-FL-32607/42718846_zpid/
2250 SW 91ST St,GAINESVILLE,FL,32607,212500,NA,NA,NA,227,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2250-SW-91ST-St-Gainesville-FL-32607/103015068_zpid/
2228 SW 91ST St,GAINESVILLE,FL,32607,207500,NA,NA,NA,227,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2228-SW-91ST-St-Gainesville-FL-32607/103036416_zpid/
3015 W University Ave,Gainesville,FL,32607,249900,2144.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3015-W-University-Ave-Gainesville-FL-32607/42716076_zpid/
310 NW 25th St,Gainesville,FL,32607,229900,1441.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/310-NW-25th-St-Gainesville-FL-32607/42715694_zpid/
1518 SW 66th Dr,Gainesville,FL,32607,259900,1773.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1518-SW-66th-Dr-Gainesville-FL-32607/70607554_zpid/
9100 SW 14th Ave,Gainesville,FL,32607,130000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9100-SW-14th-Ave-Gainesville-FL-32607/2094072985_zpid/
9415 SW 12th Ave,Gainesville,FL,32607,159900,NA,NA,NA,262,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9415-SW-12th-Ave-Gainesville-FL-32607/42718244_zpid/
2204 SW 91ST St,GAINESVILLE,FL,32607,212500,NA,NA,NA,227,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2204-SW-91ST-St-Gainesville-FL-32607/103037304_zpid/
904 SW 115th St,Gainesville,FL,32607,419900,2679.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/904-SW-115th-St-Gainesville-FL-32607/42698601_zpid/
1108 SW 82nd Ter,Gainesville,FL,32607,239900,1908.0,4.0,2.0,165,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1108-SW-82nd-Ter-Gainesville-FL-32607/42718922_zpid/
2043 SW 66th Dr,Gainesville,FL,32607,247500,1754.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2043-SW-66th-Dr-Gainesville-FL-32607/103019705_zpid/
11922 SW 3rd Ln,Gainesville,FL,32607,399900,2618.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11922-SW-3rd-Ln-Gainesville-FL-32607/103014559_zpid/
1025 SW 105th Ter,Gainesville,FL,32607,329900,2351.0,3.0,3.0,71,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1025-SW-105th-Ter-Gainesville-FL-32607/52273940_zpid/
79 NW 48th Blvd,Gainesville,FL,32607,254900,1752.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/79-NW-48th-Blvd-Gainesville-FL-32607/42717277_zpid/
4133 SW 15th Pl,Gainesville,FL,32607,30000,10454.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4133-SW-15th-Pl-Gainesville-FL-32607/2094204361_zpid/
4115 SW 15th Pl,Gainesville,FL,32607,30000,10454.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4115-SW-15th-Pl-Gainesville-FL-32607/2094204356_zpid/
1218 SW 104th St,Gainesville,FL,32607,469900,3034.0,4.0,3.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1218-SW-104th-St-Gainesville-FL-32607/70605926_zpid/
8128 SW 10th Pl,Gainesville,FL,32607,227900,1830.0,3.0,2.0,204,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8128-SW-10th-Pl-Gainesville-FL-32607/42718904_zpid/
515 SW 41st St,Gainesville,FL,32607,310000,2261.0,4.0,2.0,93,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/515-SW-41st-St-Gainesville-FL-32607/42716701_zpid/
8470 SW 10th Pl,Gainesville,FL,32607,299900,2099.0,3.0,2.0,130,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8470-SW-10th-Pl-Gainesville-FL-32607/66695671_zpid/
1710 SW 78th St,Gainesville,FL,32607,269895,2358.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1710-SW-78th-St-Gainesville-FL-32607/42719641_zpid/
2025 SW 98TH St,GAINESVILLE,FL,32607,375000,NA,NA,NA,333,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2025-SW-98TH-St-Gainesville-FL-32607/103017513_zpid/
